Point Number,Easting (m),Northing (m),Orthometric height (m)
1,732112.517,5706849.176,1.194
2,732124.511,5706828.769,1.132
3,732026.502,5707290.515,1.288
4,732028.885,5707310.633,1.259
5,732210.031,5707934.122,1.389
6,732217.561,5707951.434,1.472
7,732406.897,5708271.054,2.074
8,732429.167,5708292.803,1.660
9,732982.861,5708881.350,2.522
10,732963.151,5708863.613,1.859
11,733460.343,5709216.147,2.727
12,733481.196,5709227.898,2.601
