Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
1,100_0001_0001.JPG,-38.75467434,143.67056115,99.188,0.010,0.009,0.030
1,100_0001_0002.JPG,-38.75478252,143.67091066,98.565,0.037,0.033,0.103
1,100_0001_0003.JPG,-38.75485487,143.67125426,99.004,0.033,0.030,0.094
1,100_0001_0004.JPG,-38.75491323,143.67148826,99.980,0.029,0.026,0.083
1,100_0001_0005.JPG,-38.75518483,143.67163241,99.021,0.025,0.021,0.069
1,100_0001_0006.JPG,-38.75538508,143.67173530,99.852,0.019,0.017,0.055
1,100_0001_0007.JPG,-38.75530049,143.67136652,99.537,0.014,0.012,0.042
1,100_0001_0008.JPG,-38.75522513,143.67103972,99.734,0.011,0.010,0.033
1,100_0001_0009.JPG,-38.75514836,143.67070905,99.902,0.010,0.009,0.027
1,100_0001_0010.JPG,-38.75507180,143.67037711,100.167,0.041,0.036,0.122
1,100_0001_0011.JPG,-38.75499816,143.67006008,100.305,0.037,0.032,0.110
1,100_0001_0012.JPG,-38.75499389,143.67001741,100.186,0.034,0.030,0.103
1,100_0001_0013.JPG,-38.75528516,143.67010162,99.166,0.028,0.025,0.085
1,100_0001_0014.JPG,-38.75544285,143.67015629,99.609,0.024,0.021,0.074
1,100_0001_0015.JPG,-38.75553289,143.67050493,98.552,0.018,0.016,0.056
1,100_0001_0016.JPG,-38.75560288,143.67084588,98.895,0.015,0.013,0.046
1,100_0001_0017.JPG,-38.75567704,143.67117389,99.640,0.012,0.010,0.036
1,100_0001_0018.JPG,-38.75575269,143.67150374,99.957,0.010,0.009,0.029
1,100_0001_0019.JPG,-38.75582808,143.67183409,100.166,0.009,0.009,0.026
1,100_0001_0020.JPG,-38.75587036,143.67200908,100.209,0.010,0.009,0.031
1,100_0001_0021.JPG,-38.75612252,143.67214565,99.318,0.014,0.012,0.044
1,100_0001_0022.JPG,-38.75630941,143.67241773,98.872,0.017,0.014,0.052
1,100_0001_0023.JPG,-38.75641422,143.67256601,99.414,0.017,0.014,0.053
1,100_0001_0024.JPG,-38.75632980,143.67219881,99.400,0.015,0.013,0.047
1,100_0001_0025.JPG,-38.75625420,143.67187245,99.776,0.013,0.011,0.039
1,100_0001_0026.JPG,-38.75617855,143.67154300,100.082,0.010,0.008,0.030
1,100_0001_0027.JPG,-38.75610160,143.67121147,100.242,0.008,0.008,0.026
1,100_0001_0028.JPG,-38.75602482,143.67088121,100.279,0.010,0.010,0.031
1,100_0001_0029.JPG,-38.75594776,143.67055186,100.235,0.013,0.011,0.040
1,100_0001_0030.JPG,-38.75589326,143.67029486,99.955,0.016,0.013,0.050
1,100_0001_0031.JPG,-38.75617809,143.67039675,98.840,0.017,0.015,0.054
1,100_0001_0032.JPG,-38.75635011,143.67046721,99.245,0.016,0.014,0.050
1,100_0001_0033.JPG,-38.75643980,143.67081489,98.136,0.013,0.011,0.040
1,100_0001_0034.JPG,-38.75651017,143.67115405,98.499,0.010,0.009,0.031
1,100_0001_0035.JPG,-38.75658530,143.67148611,99.290,0.010,0.007,0.026
1,100_0001_0036.JPG,-38.75666093,143.67181173,99.610,0.009,0.009,0.027
1,100_0001_0037.JPG,-38.75673673,143.67214219,99.751,0.011,0.009,0.034
1,100_0001_0038.JPG,-38.75681300,143.67247385,99.918,0.013,0.012,0.041
1,100_0001_0039.JPG,-38.75688711,143.67280113,100.351,0.015,0.013,0.047
1,100_0001_0040.JPG,-38.75696180,143.67313022,100.737,0.016,0.014,0.049
1,100_0001_0041.JPG,-38.75703694,143.67345898,100.502,0.016,0.014,0.049
1,100_0001_0042.JPG,-38.75711376,143.67379375,100.593,0.015,0.013,0.045
1,100_0001_0043.JPG,-38.75718865,143.67411810,100.130,0.013,0.011,0.039
1,100_0001_0044.JPG,-38.75726334,143.67444731,100.161,0.010,0.009,0.031
1,100_0001_0045.JPG,-38.75728364,143.67450985,100.315,0.009,0.008,0.027
1,100_0001_0046.JPG,-38.75757683,143.67450226,99.671,0.010,0.009,0.028
1,100_0001_0047.JPG,-38.75769079,143.67449130,99.701,0.023,0.017,0.099
1,100_0001_0048.JPG,-38.75761085,143.67413077,99.412,0.014,0.013,0.044
1,100_0001_0049.JPG,-38.75753250,143.67380521,99.824,0.015,0.014,0.046
1,100_0001_0050.JPG,-38.75745802,143.67347567,100.095,0.016,0.014,0.047
1,100_0001_0051.JPG,-38.75738145,143.67314559,100.101,0.015,0.013,0.044
1,100_0001_0052.JPG,-38.75730542,143.67281534,100.003,0.013,0.011,0.039
1,100_0001_0053.JPG,-38.75723001,143.67248498,100.255,0.010,0.010,0.032
1,100_0001_0054.JPG,-38.75715451,143.67215512,100.014,0.009,0.009,0.026
1,100_0001_0055.JPG,-38.75707699,143.67182426,100.201,0.009,0.008,0.025
1,100_0001_0056.JPG,-38.75700073,143.67149458,100.031,0.010,0.009,0.029
1,100_0001_0057.JPG,-38.75692542,143.67116856,100.104,0.012,0.011,0.036
1,100_0001_0058.JPG,-38.75684877,143.67084147,100.207,0.014,0.012,0.041
1,100_0001_0059.JPG,-38.75683505,143.67076154,99.961,0.015,0.013,0.044
1,100_0001_0060.JPG,-38.75710952,143.67091702,98.759,0.015,0.013,0.044
1,100_0001_0061.JPG,-38.75732022,143.67104788,98.819,0.013,0.012,0.039
1,100_0001_0062.JPG,-38.75740409,143.67140000,98.112,0.011,0.010,0.031
1,100_0001_0063.JPG,-38.75747901,143.67173515,98.416,0.009,0.009,0.026
1,100_0001_0064.JPG,-38.75755589,143.67206709,98.773,0.009,0.007,0.025
1,100_0001_0065.JPG,-38.75763091,143.67238965,99.138,0.010,0.009,0.030
1,100_0001_0066.JPG,-38.75770730,143.67271993,99.400,0.012,0.011,0.036
1,100_0001_0067.JPG,-38.75778370,143.67305056,99.571,0.014,0.012,0.041
1,100_0001_0068.JPG,-38.75786010,143.67338304,99.807,0.015,0.013,0.044
1,100_0001_0069.JPG,-38.75793500,143.67370990,99.854,0.015,0.013,0.044
1,100_0001_0070.JPG,-38.75801103,143.67403844,99.899,0.014,0.013,0.042
1,100_0001_0071.JPG,-38.75808739,143.67437043,99.638,0.013,0.011,0.037
1,100_0001_0072.JPG,-38.75811832,143.67448806,99.502,0.011,0.009,0.032
1,100_0001_0073.JPG,-38.75839698,143.67436801,98.965,0.009,0.008,0.025
1,100_0001_0074.JPG,-38.75849179,143.67431774,99.476,0.009,0.007,0.027
1,100_0001_0075.JPG,-38.75840909,143.67395513,99.280,0.012,0.010,0.035
1,100_0001_0076.JPG,-38.75833319,143.67362693,99.416,0.014,0.012,0.041
1,100_0001_0077.JPG,-38.75825768,143.67329786,99.628,0.015,0.013,0.044
1,100_0001_0078.JPG,-38.75818046,143.67296624,100.040,0.015,0.014,0.045
1,100_0001_0079.JPG,-38.75810492,143.67263778,100.186,0.014,0.013,0.043
1,100_0001_0080.JPG,-38.75804504,143.67237320,99.890,0.012,0.010,0.035
1,100_0001_0081.JPG,-38.75813915,143.67272227,98.397,0.009,0.007,0.026
1,100_0001_0082.JPG,-38.75821671,143.67306000,98.553,0.008,0.007,0.025
1,100_0001_0083.JPG,-38.75829709,143.67338503,99.079,0.010,0.008,0.030
1,100_0001_0084.JPG,-38.75837913,143.67371570,99.481,0.012,0.011,0.036
1,100_0001_0085.JPG,-38.75846054,143.67404387,99.886,0.014,0.012,0.041
1,100_0001_0086.JPG,-38.75848689,143.67416684,100.317,0.015,0.013,0.044
1,100_0001_0087.JPG,-38.75820850,143.67426719,99.090,0.015,0.013,0.043
1,100_0001_0088.JPG,-38.75794683,143.67437201,99.769,0.014,0.012,0.040
1,100_0001_0089.JPG,-38.75768770,143.67447053,100.412,0.011,0.010,0.034
1,100_0001_0090.JPG,-38.75758326,143.67450456,100.591,0.010,0.009,0.029
1,100_0001_0091.JPG,-38.75732797,143.67433538,98.899,0.009,0.009,0.026
1,100_0001_0092.JPG,-38.75708886,143.67419107,99.323,0.010,0.009,0.028
1,100_0001_0093.JPG,-38.75706431,143.67416790,99.407,0.011,0.010,0.032
1,100_0001_0094.JPG,-38.75734963,143.67405658,99.262,0.014,0.012,0.041
1,100_0001_0095.JPG,-38.75760375,143.67395981,99.456,0.016,0.013,0.045
1,100_0001_0096.JPG,-38.75785898,143.67386204,99.311,0.015,0.014,0.044
