Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
3,100_0003_0090.JPG,-38.74949169,143.67067234,98.262,0.011,0.009,0.021
3,100_0003_0091.JPG,-38.74973168,143.67081946,98.321,0.012,0.010,0.026
3,100_0003_0092.JPG,-38.74997463,143.67096846,98.424,0.014,0.011,0.030
3,100_0003_0093.JPG,-38.75021429,143.67111563,98.555,0.015,0.012,0.032
3,100_0003_0094.JPG,-38.75031860,143.67118691,98.715,0.015,0.012,0.033
3,100_0003_0095.JPG,-38.75008827,143.67140066,97.914,0.013,0.010,0.028
3,100_0003_0096.JPG,-38.74995755,143.67153914,98.399,0.010,0.008,0.020
3,100_0003_0097.JPG,-38.74970160,143.67137243,97.609,0.010,0.008,0.018
3,100_0003_0098.JPG,-38.74945454,143.67122681,98.179,0.011,0.008,0.022
3,100_0003_0099.JPG,-38.74921452,143.67108022,98.624,0.013,0.010,0.026
3,100_0003_0100.JPG,-38.74897428,143.67093302,98.942,0.014,0.011,0.031
3,100_0003_0101.JPG,-38.74873370,143.67078622,99.051,0.016,0.012,0.034
3,100_0003_0102.JPG,-38.74856222,143.67068543,99.091,0.015,0.012,0.032
3,100_0003_0103.JPG,-38.74828683,143.67075014,98.531,0.013,0.010,0.026
3,100_0003_0104.JPG,-38.74802015,143.67083197,98.916,0.011,0.008,0.022
3,100_0003_0105.JPG,-38.74793013,143.67086451,99.360,0.010,0.008,0.018
3,100_0003_0106.JPG,-38.74819605,143.67102357,98.311,0.010,0.008,0.020
3,100_0003_0107.JPG,-38.74843734,143.67117351,98.658,0.012,0.009,0.025
3,100_0003_0108.JPG,-38.74867704,143.67131998,98.470,0.014,0.011,0.029
3,100_0003_0109.JPG,-38.74892128,143.67146745,98.339,0.014,0.012,0.032
3,100_0003_0110.JPG,-38.74916254,143.67161479,98.326,0.015,0.012,0.032
3,100_0003_0111.JPG,-38.74932517,143.67171995,98.293,0.014,0.011,0.030
3,100_0003_0112.JPG,-38.74904322,143.67179949,97.682,0.011,0.008,0.022
3,100_0003_0113.JPG,-38.74878025,143.67187942,98.499,0.009,0.007,0.019
3,100_0003_0114.JPG,-38.74868863,143.67190171,98.958,0.010,0.008,0.019
3,100_0003_0115.JPG,-38.74843455,143.67173445,97.942,0.012,0.009,0.024
3,100_0003_0116.JPG,-38.74819177,143.67158957,98.022,0.014,0.011,0.029
3,100_0003_0117.JPG,-38.74795139,143.67144293,98.280,0.015,0.012,0.033
