=+proj=longlat +ellps=GRS80 +no_defs +type=crs,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,image, x (long), y (lat), z (alt), yaw, pitch, roll, h_accuracy, v_accuracy, label,,,,
Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),,,,,RMS Error Up (m),,,,RMS Error North (m),RMS Error East (m)
1,100_0001_0061.JPG,-38.75732022,143.6710479,98.819,,,,,0.039,,,,0.013,0.012
1,100_0001_0062.JPG,-38.75740409,143.6714,98.112,,,,,0.031,,,,0.011,0.01
1,100_0001_0063.JPG,-38.75747901,143.6717352,98.416,,,,,0.026,,,,0.009,0.009
1,100_0001_0064.JPG,-38.75755589,143.6720671,98.773,,,,,0.025,,,,0.009,0.007
1,100_0001_0065.JPG,-38.75763091,143.6723897,99.138,,,,,0.03,,,,0.01,0.009
1,100_0001_0066.JPG,-38.7577073,143.6727199,99.4,,,,,0.036,,,,0.012,0.011
1,100_0001_0067.JPG,-38.7577837,143.6730506,99.571,,,,,0.041,,,,0.014,0.012
1,100_0001_0068.JPG,-38.7578601,143.673383,99.807,,,,,0.044,,,,0.015,0.013
1,100_0001_0069.JPG,-38.757935,143.6737099,99.854,,,,,0.044,,,,0.015,0.013
1,100_0001_0070.JPG,-38.75801103,143.6740384,99.899,,,,,0.042,,,,0.014,0.013
1,100_0001_0071.JPG,-38.75808739,143.6743704,99.638,,,,,0.037,,,,0.013,0.011
1,100_0001_0072.JPG,-38.75811832,143.6744881,99.502,,,,,0.032,,,,0.011,0.009
1,100_0001_0073.JPG,-38.75839698,143.674368,98.965,,,,,0.025,,,,0.009,0.008
1,100_0001_0074.JPG,-38.75849179,143.6743177,99.476,,,,,0.027,,,,0.009,0.007
1,100_0001_0075.JPG,-38.75840909,143.6739551,99.28,,,,,0.035,,,,0.012,0.01
1,100_0001_0076.JPG,-38.75833319,143.6736269,99.416,,,,,0.041,,,,0.014,0.012
1,100_0001_0077.JPG,-38.75825768,143.6732979,99.628,,,,,0.044,,,,0.015,0.013
1,100_0001_0078.JPG,-38.75818046,143.6729662,100.04,,,,,0.045,,,,0.015,0.014
1,100_0001_0079.JPG,-38.75810492,143.6726378,100.186,,,,,0.043,,,,0.014,0.013
1,100_0001_0080.JPG,-38.75804504,143.6723732,99.89,,,,,0.035,,,,0.012,0.01
1,100_0001_0081.JPG,-38.75813915,143.6727223,98.397,,,,,0.026,,,,0.009,0.007
1,100_0001_0082.JPG,-38.75821671,143.67306,98.553,,,,,0.025,,,,0.008,0.007
1,100_0001_0083.JPG,-38.75829709,143.673385,99.079,,,,,0.03,,,,0.01,0.008
