Point Number,Easting (m),Northing (m),Orthometric height (m)
1,732104.502,5706859.789,1.242
2,732116.118,5706839.071,1.167
3,732026.417,5707319.542,1.264
4,732210.328,5707928.559,1.463
5,732223.988,5707953.449,1.527
6,732422.576,5708293.548,2.347
7,732453.586,5708320.134,1.807
8,732984.640,5708886.654,2.831
9,733012.067,5708905.292,2.562
10,733544.679,5709264.140,2.509
11,733526.821,5709255.155,2.714
