Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
2,100_0009_0075.JPG,-38.75396229,143.66996711,102.529,0.022,0.015,0.063
2,100_0009_0076.JPG,-38.75377308,143.66978003,102.258,0.019,0.017,0.060
2,100_0009_0077.JPG,-38.75406535,143.66982911,101.507,0.012,0.011,0.041
2,100_0009_0078.JPG,-38.75432995,143.66987510,101.957,0.011,0.011,0.036
2,100_0009_0079.JPG,-38.75458438,143.66991588,102.635,0.012,0.017,0.048
2,100_0009_0080.JPG,-38.75461553,143.66995273,102.766,0.013,0.011,0.041
2,100_0009_0081.JPG,-38.75481518,143.67014475,102.212,0.017,0.012,0.050
2,100_0009_0082.JPG,-38.75493686,143.67025934,102.105,0.030,0.017,0.070
2,100_0009_0083.JPG,-38.75493770,143.67023260,101.755,0.023,0.016,0.064
2,100_0009_0084.JPG,-38.75476219,143.67053938,102.066,0.024,0.022,0.074
2,100_0009_0085.JPG,-38.75460193,143.67080770,101.820,0.019,0.014,0.055
2,100_0009_0086.JPG,-38.75443878,143.67108033,101.765,0.016,0.014,0.048
2,100_0009_0087.JPG,-38.75428504,143.67133678,101.815,0.010,0.009,0.032
2,100_0009_0088.JPG,-38.75426327,143.67134059,101.788,0.010,0.010,0.032
2,100_0009_0089.JPG,-38.75398531,143.67130563,101.463,0.012,0.011,0.041
2,100_0009_0090.JPG,-38.75382152,143.67127730,101.470,0.015,0.011,0.047
2,100_0009_0091.JPG,-38.75400240,143.67099973,101.095,0.019,0.015,0.060
2,100_0009_0092.JPG,-38.75416092,143.67071494,101.996,0.022,0.016,0.065
2,100_0009_0093.JPG,-38.75432339,143.67044145,102.496,0.020,0.018,0.062
2,100_0009_0094.JPG,-38.75448556,143.67015537,103.164,0.016,0.016,0.053
2,100_0009_0095.JPG,-38.75461395,143.66991891,103.985,0.011,0.011,0.038
2,100_0009_0096.JPG,-38.75432673,143.66988212,102.084,0.011,0.011,0.039
2,100_0009_0097.JPG,-38.75415521,143.66985062,101.839,0.016,0.022,0.061
2,100_0009_0098.JPG,-38.75397907,143.67014955,101.529,0.020,0.015,0.059
2,100_0009_0099.JPG,-38.75381808,143.67041944,101.525,0.023,0.022,0.076
2,100_0009_0100.JPG,-38.75365767,143.67069319,101.429,0.022,0.017,0.065
2,100_0009_0101.JPG,-38.75349610,143.67096724,101.116,0.021,0.030,0.081
2,100_0009_0102.JPG,-38.75334268,143.67123174,101.025,0.015,0.014,0.047
2,100_0009_0103.JPG,-38.75332224,143.67123960,100.844,0.014,0.020,0.056
2,100_0009_0104.JPG,-38.75304968,143.67122811,100.271,0.011,0.014,0.040
2,100_0009_0105.JPG,-38.75286865,143.67117877,101.340,0.013,0.017,0.049
2,100_0009_0106.JPG,-38.75305898,143.67092008,100.578,0.017,0.013,0.054
2,100_0009_0107.JPG,-38.75321252,143.67063535,102.039,0.023,0.017,0.070
2,100_0009_0108.JPG,-38.75337369,143.67035634,102.633,0.019,0.014,0.060
2,100_0009_0109.JPG,-38.75353900,143.67008347,102.580,0.018,0.012,0.052
2,100_0009_0110.JPG,-38.75369126,143.66980182,102.869,0.013,0.009,0.038
2,100_0009_0111.JPG,-38.75370012,143.66976401,103.197,0.012,0.009,0.034
2,100_0009_0112.JPG,-38.75340647,143.66974241,101.811,0.010,0.009,0.033
2,100_0009_0113.JPG,-38.75321790,143.66972456,102.149,0.015,0.011,0.043
2,100_0009_0114.JPG,-38.75304109,143.67002369,101.455,0.021,0.030,0.082
2,100_0009_0115.JPG,-38.75288141,143.67029617,101.205,0.023,0.019,0.072
2,100_0009_0116.JPG,-38.75272075,143.67057065,101.034,0.023,0.022,0.075
2,100_0009_0117.JPG,-38.75255699,143.67084702,100.937,0.021,0.016,0.064
2,100_0009_0118.JPG,-38.75239867,143.67111274,101.572,0.017,0.013,0.052
2,100_0009_0119.JPG,-38.75237702,143.67114313,101.711,0.014,0.012,0.044
2,100_0009_0120.JPG,-38.75225427,143.67113175,101.556,0.011,0.010,0.038
2,100_0009_0121.JPG,-38.75198240,143.67122296,101.644,0.010,0.009,0.032
2,100_0009_0122.JPG,-38.75180529,143.67127272,101.372,0.015,0.011,0.043
2,100_0009_0123.JPG,-38.75199564,143.67100765,101.245,0.023,0.033,0.090
2,100_0009_0124.JPG,-38.75215438,143.67073170,102.249,0.022,0.017,0.065
2,100_0009_0125.JPG,-38.75231567,143.67044002,102.938,0.019,0.018,0.063
2,100_0009_0126.JPG,-38.75247649,143.67017459,102.898,0.014,0.020,0.056
2,100_0009_0127.JPG,-38.75264237,143.66990933,102.742,0.010,0.010,0.034
2,100_0009_0128.JPG,-38.75273588,143.66968740,103.103,0.013,0.012,0.042
2,100_0009_0129.JPG,-38.75244061,143.66970564,102.394,0.021,0.020,0.069
2,100_0009_0130.JPG,-38.75220885,143.66973103,102.122,0.022,0.016,0.065
2,100_0009_0131.JPG,-38.75203305,143.67002537,101.158,0.022,0.017,0.068
2,100_0009_0132.JPG,-38.75187296,143.67029534,100.934,0.018,0.013,0.053
2,100_0009_0133.JPG,-38.75171027,143.67057038,100.743,0.014,0.011,0.042
2,100_0009_0134.JPG,-38.75154681,143.67084641,100.737,0.011,0.015,0.043
2,100_0009_0135.JPG,-38.75138506,143.67111780,100.645,0.011,0.011,0.037
2,100_0009_0136.JPG,-38.75122416,143.67138699,100.753,0.014,0.011,0.041
2,100_0009_0137.JPG,-38.75117782,143.67145740,100.752,0.016,0.011,0.046
2,100_0009_0138.JPG,-38.75089560,143.67153538,100.985,0.022,0.020,0.072
2,100_0009_0139.JPG,-38.75063801,143.67161281,101.681,0.024,0.018,0.072
2,100_0009_0140.JPG,-38.75058077,143.67162921,101.213,0.023,0.020,0.074
2,100_0009_0141.JPG,-38.75075313,143.67133702,101.076,0.017,0.013,0.049
2,100_0009_0142.JPG,-38.75092024,143.67105678,101.956,0.013,0.011,0.039
2,100_0009_0143.JPG,-38.75108488,143.67078010,102.075,0.011,0.014,0.041
2,100_0009_0144.JPG,-38.75124344,143.67050326,102.351,0.012,0.011,0.040
2,100_0009_0145.JPG,-38.75140445,143.67023130,102.203,0.016,0.023,0.064
2,100_0009_0146.JPG,-38.75156733,143.66996362,102.555,0.020,0.029,0.081
2,100_0009_0147.JPG,-38.75164673,143.66980802,102.961,0.020,0.017,0.064
2,100_0009_0148.JPG,-38.75135293,143.66986481,101.887,0.023,0.023,0.077
2,100_0009_0149.JPG,-38.75109829,143.66991317,101.882,0.019,0.015,0.054
2,100_0009_0150.JPG,-38.75107360,143.66992522,101.743,0.018,0.017,0.053
2,100_0009_0151.JPG,-38.75089945,143.67022507,101.386,0.012,0.011,0.037
2,100_0009_0152.JPG,-38.75074193,143.67049254,101.174,0.009,0.011,0.034
2,100_0009_0153.JPG,-38.75058032,143.67076922,101.041,0.012,0.010,0.035
2,100_0009_0154.JPG,-38.75041723,143.67104213,101.499,0.016,0.014,0.048
2,100_0009_0155.JPG,-38.75029934,143.67123986,102.128,0.022,0.031,0.087
2,100_0009_0156.JPG,-38.75023362,143.67087237,101.216,0.022,0.018,0.066
2,100_0009_0157.JPG,-38.75019089,143.67056524,101.526,0.020,0.017,0.061
2,100_0009_0158.JPG,-38.75037384,143.67028603,101.177,0.014,0.011,0.041
3,100_0010_0001.JPG,-38.74508588,143.67307039,102.443,0.026,0.023,0.074
3,100_0010_0002.JPG,-38.74520858,143.67274197,101.489,0.013,0.014,0.044
3,100_0010_0003.JPG,-38.74525748,143.67261577,101.975,0.011,0.011,0.037
3,100_0010_0004.JPG,-38.74550636,143.67247180,101.171,0.050,0.045,0.168
3,100_0010_0005.JPG,-38.74568309,143.67232929,101.591,0.040,0.030,0.114
3,100_0010_0006.JPG,-38.74585238,143.67220696,102.122,0.033,0.025,0.094
