Point Number,Easting (m),Northing (m),Orthometric height (m)
1,732080.450,5706905.342,1.436
2,732100.361,5706863.830,1.298
3,732018.231,5707285.342,1.716
4,732021.302,5707308.782,1.603
5,732188.213,5707905.046,1.990
6,732217.971,5707955.918,1.970
7,732435.967,5708310.300,2.610
8,732471.379,5708355.832,2.242
9,732969.630,5708873.891,1.943
10,732983.983,5708886.532,2.389
11,733537.688,5709273.015,2.930
12,733558.464,5709276.897,2.832
