Flight,File name,Easting (m),Northing (m),Orthometric height (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
1,100_0022_0001.JPG,732064.553,5707056.429,101.525,0.011,0.008,0.023
1,100_0022_0002.JPG,732095.714,5707047.222,101.617,0.042,0.032,0.077
1,100_0022_0003.JPG,732123.914,5707038.241,101.585,0.037,0.028,0.068
1,100_0022_0004.JPG,732144.707,5707030.795,101.615,0.028,0.021,0.057
1,100_0022_0005.JPG,732156.095,5707000.970,101.592,0.026,0.020,0.048
1,100_0022_0006.JPG,732164.378,5706977.737,101.639,0.018,0.014,0.038
1,100_0022_0007.JPG,732133.203,5706988.142,101.509,0.014,0.010,0.033
1,100_0022_0008.JPG,732105.131,5706997.237,101.419,0.010,0.008,0.021
1,100_0022_0009.JPG,732076.481,5707006.567,101.559,0.039,0.030,0.080
1,100_0022_0010.JPG,732048.115,5707015.670,101.549,0.036,0.028,0.072
1,100_0022_0011.JPG,732020.365,5707024.786,101.554,0.030,0.023,0.060
1,100_0022_0012.JPG,732016.754,5707025.528,101.431,0.032,0.024,0.059
1,100_0022_0013.JPG,732023.217,5706993.390,101.508,0.015,0.012,0.031
1,100_0022_0014.JPG,732027.539,5706975.284,101.569,0.016,0.012,0.030
1,100_0022_0015.JPG,732058.343,5706965.734,101.457,0.012,0.009,0.025
1,100_0022_0016.JPG,732086.466,5706956.549,101.564,0.011,0.008,0.021
1,100_0022_0017.JPG,732114.718,5706947.239,101.622,0.009,0.008,0.018
1,100_0022_0018.JPG,732143.515,5706937.778,101.623,0.010,0.008,0.020
1,100_0022_0019.JPG,732171.720,5706928.551,101.618,0.013,0.010,0.025
1,100_0022_0020.JPG,732186.810,5706923.110,101.655,0.016,0.012,0.029
1,100_0022_0021.JPG,732197.880,5706894.664,101.667,0.017,0.013,0.033
1,100_0022_0022.JPG,732220.635,5706873.779,101.517,0.015,0.011,0.030
1,100_0022_0023.JPG,732233.137,5706861.385,101.634,0.012,0.010,0.026
1,100_0022_0024.JPG,732202.006,5706871.331,101.557,0.010,0.007,0.022
1,100_0022_0025.JPG,732173.530,5706880.623,101.517,0.010,0.007,0.021
1,100_0022_0026.JPG,732145.223,5706889.955,101.503,0.011,0.009,0.022
1,100_0022_0027.JPG,732116.889,5706899.289,101.512,0.013,0.010,0.028
1,100_0022_0028.JPG,732088.553,5706908.532,101.567,0.017,0.013,0.032
1,100_0022_0029.JPG,732059.987,5706917.822,101.539,0.016,0.012,0.032
1,100_0022_0030.JPG,732037.405,5706924.588,101.591,0.016,0.012,0.031
1,100_0022_0031.JPG,732045.565,5706892.984,101.638,0.011,0.008,0.022
1,100_0022_0032.JPG,732051.446,5706873.525,101.585,0.009,0.008,0.019
1,100_0022_0033.JPG,732081.991,5706863.734,101.560,0.010,0.007,0.020
1,100_0022_0034.JPG,732110.052,5706854.503,101.664,0.012,0.010,0.025
1,100_0022_0035.JPG,732138.516,5706845.179,101.590,0.014,0.011,0.029
1,100_0022_0036.JPG,732166.805,5706835.838,101.564,0.015,0.011,0.031
1,100_0022_0037.JPG,732195.263,5706826.556,101.564,0.014,0.011,0.030
1,100_0022_0038.JPG,732223.587,5706817.252,101.527,0.014,0.010,0.028
1,100_0022_0039.JPG,732251.990,5706807.994,101.530,0.011,0.008,0.022
1,100_0022_0040.JPG,732280.349,5706798.831,101.528,0.009,0.008,0.018
1,100_0022_0041.JPG,732308.751,5706789.386,101.544,0.009,0.007,0.018
1,100_0022_0042.JPG,732337.080,5706780.237,101.540,0.011,0.009,0.024
1,100_0022_0043.JPG,732365.453,5706771.069,101.477,0.013,0.010,0.028
1,100_0022_0044.JPG,732393.662,5706761.691,101.570,0.015,0.012,0.033
1,100_0022_0045.JPG,732399.189,5706759.519,101.492,0.015,0.012,0.032
1,100_0022_0046.JPG,732397.455,5706726.680,101.430,0.014,0.011,0.030
1,100_0022_0047.JPG,732396.259,5706714.006,101.478,0.013,0.010,0.027
1,100_0022_0048.JPG,732365.219,5706724.105,101.450,0.010,0.008,0.020
1,100_0022_0049.JPG,732337.097,5706733.156,101.509,0.009,0.008,0.019
1,100_0022_0050.JPG,732308.545,5706742.455,101.598,0.010,0.008,0.022
1,100_0022_0051.JPG,732280.276,5706751.646,101.571,0.013,0.010,0.028
1,100_0022_0052.JPG,732251.594,5706760.986,101.509,0.014,0.012,0.032
1,100_0022_0053.JPG,732223.056,5706770.184,101.548,0.015,0.012,0.034
1,100_0022_0054.JPG,732194.687,5706779.411,101.591,0.014,0.011,0.031
1,100_0022_0055.JPG,732166.115,5706788.686,101.522,0.013,0.011,0.027
1,100_0022_0056.JPG,732137.992,5706797.883,101.528,0.010,0.008,0.021
1,100_0022_0057.JPG,732109.320,5706807.208,101.597,0.009,0.008,0.019
1,100_0022_0058.JPG,732081.020,5706816.479,101.567,0.010,0.007,0.021
1,100_0022_0059.JPG,732074.040,5706818.164,101.528,0.012,0.009,0.025
