Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),RMS Error North (m),RMS Error East (m),RMS Error Up (m)
1,100_0022_0001.JPG,-38.75470647,143.67057612,101.638,0.011,0.008,0.023
1,100_0022_0002.JPG,-38.75478116,143.67093744,101.729,0.042,0.032,0.077
1,100_0022_0003.JPG,-38.75485459,143.67126465,101.696,0.037,0.028,0.068
1,100_0022_0004.JPG,-38.75491616,143.67150620,101.726,0.028,0.021,0.057
1,100_0022_0005.JPG,-38.75518164,143.67164713,101.701,0.026,0.020,0.048
1,100_0022_0006.JPG,-38.75538861,143.67175016,101.746,0.018,0.014,0.038
1,100_0022_0007.JPG,-38.75530314,143.67138827,101.617,0.014,0.010,0.033
1,100_0022_0008.JPG,-38.75522864,143.67106249,101.528,0.010,0.008,0.021
1,100_0022_0009.JPG,-38.75515219,143.67072998,101.668,0.039,0.030,0.080
1,100_0022_0010.JPG,-38.75507770,143.67040082,101.660,0.036,0.028,0.072
1,100_0022_0011.JPG,-38.75500293,143.67007874,101.665,0.030,0.023,0.060
1,100_0022_0012.JPG,-38.75499720,143.67003698,101.542,0.032,0.024,0.059
1,100_0022_0013.JPG,-38.75528481,143.67012206,101.617,0.015,0.012,0.031
1,100_0022_0014.JPG,-38.75544666,143.67017783,101.677,0.016,0.012,0.030
1,100_0022_0015.JPG,-38.75552453,143.67053517,101.565,0.012,0.009,0.025
1,100_0022_0016.JPG,-38.75559982,143.67086157,101.670,0.011,0.008,0.021
1,100_0022_0017.JPG,-38.75567621,143.67118949,101.728,0.009,0.008,0.018
1,100_0022_0018.JPG,-38.75575380,143.67152373,101.728,0.010,0.008,0.020
1,100_0022_0019.JPG,-38.75582945,143.67185108,101.723,0.013,0.010,0.025
1,100_0022_0020.JPG,-38.75587446,143.67202640,101.759,0.016,0.012,0.029
1,100_0022_0021.JPG,-38.75612761,143.67216322,101.769,0.017,0.013,0.033
1,100_0022_0022.JPG,-38.75630963,143.67243183,101.618,0.015,0.011,0.030
1,100_0022_0023.JPG,-38.75641791,143.67257973,101.734,0.012,0.010,0.026
1,100_0022_0024.JPG,-38.75633657,143.67221848,101.658,0.010,0.007,0.022
1,100_0022_0025.JPG,-38.75626041,143.67188799,101.619,0.010,0.007,0.021
1,100_0022_0026.JPG,-38.75618385,143.67155943,101.606,0.011,0.009,0.022
1,100_0022_0027.JPG,-38.75610728,143.67123054,101.616,0.013,0.010,0.028
1,100_0022_0028.JPG,-38.75603152,143.67090168,101.670,0.017,0.013,0.032
1,100_0022_0029.JPG,-38.75595541,143.67057015,101.644,0.016,0.012,0.032
1,100_0022_0030.JPG,-38.75590043,143.67030827,101.697,0.016,0.012,0.031
1,100_0022_0031.JPG,-38.75618278,143.67041268,101.741,0.011,0.008,0.022
1,100_0022_0032.JPG,-38.75635641,143.67048683,101.687,0.009,0.008,0.019
1,100_0022_0033.JPG,-38.75643651,143.67084128,101.661,0.010,0.007,0.020
1,100_0022_0034.JPG,-38.75651223,143.67116698,101.765,0.012,0.010,0.025
1,100_0022_0035.JPG,-38.75658869,143.67149735,101.690,0.014,0.011,0.029
1,100_0022_0036.JPG,-38.75666533,143.67182571,101.663,0.015,0.011,0.031
1,100_0022_0037.JPG,-38.75674141,143.67215601,101.662,0.014,0.011,0.030
1,100_0022_0038.JPG,-38.75681771,143.67248476,101.625,0.014,0.010,0.028
1,100_0022_0039.JPG,-38.75689357,143.67281440,101.628,0.011,0.008,0.022
1,100_0022_0040.JPG,-38.75696860,143.67314353,101.625,0.009,0.008,0.018
1,100_0022_0041.JPG,-38.75704614,143.67347322,101.639,0.009,0.007,0.018
1,100_0022_0042.JPG,-38.75712105,143.67380198,101.635,0.011,0.009,0.024
1,100_0022_0043.JPG,-38.75719611,143.67413126,101.571,0.013,0.010,0.028
1,100_0022_0044.JPG,-38.75727311,143.67445872,101.663,0.015,0.012,0.033
1,100_0022_0045.JPG,-38.75729121,143.67452299,101.585,0.015,0.012,0.032
1,100_0022_0046.JPG,-38.75758727,143.67451410,101.521,0.014,0.011,0.030
1,100_0022_0047.JPG,-38.75770168,143.67450461,101.569,0.013,0.010,0.027
1,100_0022_0048.JPG,-38.75761893,143.67414436,101.541,0.010,0.008,0.020
1,100_0022_0049.JPG,-38.75754486,143.67381801,101.601,0.009,0.008,0.019
1,100_0022_0050.JPG,-38.75746867,143.67348663,101.691,0.010,0.008,0.022
1,100_0022_0051.JPG,-38.75739337,143.67315853,101.665,0.013,0.010,0.028
1,100_0022_0052.JPG,-38.75731684,143.67282566,101.603,0.014,0.012,0.032
1,100_0022_0053.JPG,-38.75724155,143.67249447,101.643,0.015,0.012,0.034
1,100_0022_0054.JPG,-38.75716595,143.67216521,101.687,0.014,0.011,0.031
1,100_0022_0055.JPG,-38.75708997,143.67183362,101.619,0.013,0.011,0.027
1,100_0022_0056.JPG,-38.75701457,143.67150721,101.625,0.010,0.008,0.021
1,100_0022_0057.JPG,-38.75693817,143.67117445,101.695,0.009,0.008,0.019
1,100_0022_0058.JPG,-38.75686216,143.67084598,101.666,0.010,0.007,0.021
1,100_0022_0059.JPG,-38.75684882,143.67076517,101.627,0.012,0.009,0.025
1,100_0022_0060.JPG,-38.75711518,143.67092198,101.594,0.015,0.012,0.031
1,100_0022_0061.JPG,-38.75733124,143.67105706,101.692,0.015,0.012,0.033
1,100_0022_0062.JPG,-38.75740960,143.67141116,101.576,0.014,0.011,0.030
1,100_0022_0063.JPG,-38.75748516,143.67174199,101.718,0.013,0.010,0.026
1,100_0022_0064.JPG,-38.75756069,143.67207045,101.748,0.010,0.008,0.021
1,100_0022_0065.JPG,-38.75763583,143.67240054,101.640,0.008,0.006,0.019
1,100_0022_0066.JPG,-38.75771121,143.67272981,101.612,0.010,0.008,0.021
1,100_0022_0067.JPG,-38.75778642,143.67306029,101.591,0.012,0.009,0.026
1,100_0022_0068.JPG,-38.75786187,143.67338964,101.591,0.014,0.011,0.030
1,100_0022_0069.JPG,-38.75793761,143.67372260,101.605,0.015,0.012,0.034
1,100_0022_0070.JPG,-38.75801338,143.67405213,101.624,0.015,0.012,0.032
1,100_0022_0071.JPG,-38.75808876,143.67437980,101.638,0.013,0.011,0.029
1,100_0022_0072.JPG,-38.75812015,143.67450050,101.577,0.011,0.009,0.024
1,100_0022_0073.JPG,-38.75839986,143.67438052,101.516,0.009,0.006,0.019
1,100_0022_0074.JPG,-38.75849571,143.67433007,101.570,0.009,0.007,0.020
1,100_0022_0075.JPG,-38.75841253,143.67397251,101.558,0.012,0.010,0.031
1,100_0022_0076.JPG,-38.75833688,143.67364406,101.623,0.014,0.011,0.032
1,100_0022_0077.JPG,-38.75826149,143.67331230,101.665,0.016,0.013,0.035
1,100_0022_0078.JPG,-38.75818672,143.67298388,101.685,0.015,0.012,0.033
1,100_0022_0079.JPG,-38.75811012,143.67265056,101.662,0.013,0.010,0.029
1,100_0022_0080.JPG,-38.75804866,143.67238188,101.591,0.011,0.009,0.022
1,100_0022_0081.JPG,-38.75813769,143.67274201,101.592,0.009,0.006,0.019
1,100_0022_0082.JPG,-38.75821795,143.67306631,101.700,0.010,0.008,0.022
1,100_0022_0083.JPG,-38.75830060,143.67339540,101.724,0.013,0.010,0.027
1,100_0022_0084.JPG,-38.75838198,143.67372022,101.668,0.014,0.011,0.030
1,100_0022_0085.JPG,-38.75846494,143.67405099,101.640,0.015,0.012,0.032
1,100_0022_0086.JPG,-38.75848969,143.67417768,101.533,0.014,0.011,0.032
1,100_0022_0087.JPG,-38.75820886,143.67428332,101.478,0.013,0.010,0.028
1,100_0022_0088.JPG,-38.75795468,143.67438113,101.553,0.011,0.008,0.022
1,100_0022_0089.JPG,-38.75769683,143.67447999,101.646,0.010,0.007,0.021
1,100_0022_0090.JPG,-38.75758976,143.67451255,101.675,0.008,0.007,0.020
1,100_0022_0091.JPG,-38.75733270,143.67434911,101.624,0.012,0.009,0.026
